<118>2024-11-16T18:46:01Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:46:01Z, ConnectionID: 19792, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 60953, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global
<118>2024-11-16T18:53:23Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:53:23Z, ConnectionID: 20701, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 58465, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:54:24Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:54:23Z, ConnectionID: 20104, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 53550, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:54:32Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:54:32Z, ConnectionID: 20746, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55701, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:55:24Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:55:24Z, ConnectionID: 20148, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57288, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:55:42Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:55:42Z, ConnectionID: 20788, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64804, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:56:24Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:56:24Z, ConnectionID: 20185, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 61739, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:56:42Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:56:42Z, ConnectionID: 20822, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 65252, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:57:44Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:57:44Z, ConnectionID: 20868, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54069, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:58:04Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:58:04Z, ConnectionID: 20226, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 56392, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:58:55Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:58:55Z, ConnectionID: 20920, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64421, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:59:04Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:59:04Z, ConnectionID: 20925, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 59032, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:00:05Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T19:00:05Z, ConnectionID: 20270, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 55369, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:00:05Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:00:05Z, ConnectionID: 20978, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 61483, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:01:05Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:01:05Z, ConnectionID: 21013, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54200, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:01:06Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:01:06Z, ConnectionID: 21015, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54200, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:02:05Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:02:05Z, ConnectionID: 21038, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57364, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:02:06Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:02:06Z, ConnectionID: 21042, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57364, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T19:03:05Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T19:03:05Z, ConnectionID: 21061, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 60666, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

